,Lineage,Diversity,Fluctuations,Final Composition,Community Function,Lyapunov Exponent (cycle 5),Lyapunov Exponent (cycle 12),Cycle,No. Unique Compositions,Ecological Dynamics
21,1,17,0.47058823529411764,"[ 5.  9. 14. 15. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-226.96210763464083,"[-2.341259671771694, 0.0560252641386859]","[-2.348538615091171, 0.05690689346493058]",1,15,chaos
22,2,18,1.0,"[ 0.  1.  4.  8.  9. 10. 11. 12. 13. 15. 17. 21. 23. 25. 30. 31. 32. 46.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",290.8090429600419,"[0.015207264651030195, 0.2154150964750918]","[-0.00635036244023551, 0.21941988599942108]",1,15,chaos
23,3,14,1.0,"[ 0.  8. 10. 11. 13. 15. 17. 21. 25. 31. 32. 40. 47. 48.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",110.94325953825374,"[0.05858513323406462, 0.1966974665878505]","[0.05985292558864494, 0.20241167463214496]",1,15,chaos
24,4,17,0.47058823529411764,"[ 5.  9. 14. 15. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-258.36908189242104,"[-2.3556000305484694, 0.05514078014149477]","[-2.335624081771916, 0.05657941957387448]",1,15,chaos
25,5,17,0.6470588235294118,"[ 5.  9. 14. 15. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-106.12405360364598,"[-2.327476881924903, 0.05793897512532319]","[-2.359662989010273, 0.05334131136432711]",1,15,chaos
26,6,18,1.0,"[ 0.  1.  4.  8.  9. 10. 11. 12. 13. 15. 17. 21. 23. 25. 30. 31. 32. 46.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",210.04915828781714,"[-0.001075649388590607, 0.23567343614511901]","[-0.03760691493652652, 0.18592927485258595]",1,15,chaos
27,7,22,1.0,"[ 0.  1.  4.  8.  9. 11. 12. 13. 16. 20. 21. 24. 25. 31. 34. 36. 40. 41.
 42. 44. 45. 48.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",338.6981349758625,"[0.06116408189173206, 0.13658755867697156]","[0.6089965448572994, 0.6747414361973136]",1,15,chaos
28,8,17,0.8235294117647058,"[ 2.  4.  5.  8. 12. 16. 17. 18. 20. 21. 31. 34. 41. 42. 43. 44. 45.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",384.1433407572016,"[-0.011482412552968321, 0.20800820892751776]","[0.02985805818013419, 0.19767084542212202]",1,15,chaos
29,9,15,0.7333333333333333,"[ 0.  8.  9. 10. 11. 13. 15. 17. 20. 21. 25. 31. 32. 41. 47.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",508.5954645394245,"[0.011739845407576473, 0.21611259526445248]","[0.08081553896759595, 0.20442557404463796]",1,15,chaos
30,10,16,0.125,"[ 5.  9. 14. 17. 21. 23. 25. 27. 29. 31. 32. 37. 40. 42. 43. 48.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]",-415.9899008678296,"[-2.327447805554124, 0.05673059302986009]","[-2.2919567323001946, 0.06636192565823949]",1,15,chaos
