,No_Species,Community,Lineage,Invasibility,Diversity
422,46.0,0.0,2.0,0.8181818181818182,16.0
423,46.0,0.0,3.0,0.0,7.0
424,46.0,0.0,4.0,0.9090909090909091,21.0
425,46.0,1.0,0.0,0.95,38.0
426,46.0,1.0,1.0,1.0,36.0
427,46.0,1.0,2.0,0.8666666666666667,29.0
428,46.0,1.0,3.0,0.9523809523809523,41.0
429,46.0,1.0,4.0,0.9743589743589743,38.0
430,46.0,2.0,0.0,0.0,4.0
431,46.0,2.0,1.0,0.0,4.0
432,46.0,2.0,2.0,0.0,4.0
433,46.0,2.0,3.0,0.0,4.0
434,46.0,2.0,4.0,0.0,4.0
435,46.0,3.0,0.0,0.0,5.0
436,46.0,3.0,1.0,0.0,5.0
437,46.0,3.0,2.0,0.0,5.0
438,46.0,3.0,3.0,0.0,7.0
439,46.0,3.0,4.0,0.0,5.0
440,46.0,4.0,0.0,0.0,5.0
441,46.0,4.0,1.0,0.0,6.0
442,46.0,4.0,2.0,0.0,6.0
443,46.0,4.0,3.0,0.0,5.0
444,46.0,4.0,4.0,0.0,6.0
445,46.0,5.0,0.0,1.0,33.0
446,46.0,5.0,1.0,0.9428571428571428,33.0
447,46.0,5.0,2.0,0.975,40.0
448,46.0,5.0,3.0,0.9310344827586207,28.0
449,46.0,5.0,4.0,0.9642857142857143,27.0
450,49.0,0.0,0.0,0.0,6.0
451,49.0,0.0,1.0,0.0,9.0
452,49.0,0.0,2.0,0.0,9.0
453,49.0,0.0,3.0,0.0,9.0
454,49.0,0.0,4.0,0.0,9.0
455,49.0,1.0,0.0,0.0,11.0
456,49.0,1.0,1.0,0.8928571428571429,16.0
457,49.0,1.0,2.0,0.8333333333333334,29.0
458,49.0,1.0,3.0,0.896551724137931,29.0
459,49.0,1.0,4.0,0.0,12.0
460,49.0,2.0,0.0,0.9166666666666666,24.0
461,49.0,2.0,1.0,0.2857142857142857,14.0
462,49.0,2.0,2.0,0.9166666666666666,24.0
463,49.0,2.0,3.0,0.2857142857142857,14.0
464,49.0,2.0,4.0,0.9166666666666666,24.0
465,49.0,3.0,0.0,0.0,6.0
466,49.0,3.0,1.0,1.0,36.0
467,49.0,3.0,2.0,1.0,34.0
468,49.0,3.0,3.0,1.0,35.0
469,49.0,3.0,4.0,0.8378378378378378,35.0
470,49.0,4.0,0.0,0.0,9.0
471,49.0,4.0,1.0,0.0,7.0
472,49.0,4.0,2.0,0.0,7.0
473,49.0,4.0,3.0,0.0,7.0
474,49.0,4.0,4.0,0.0,7.0
475,49.0,5.0,0.0,0.0,3.0
476,49.0,5.0,1.0,0.0,3.0
477,49.0,5.0,2.0,0.0,3.0
478,49.0,5.0,3.0,0.0,3.0
479,49.0,5.0,4.0,0.0,3.0
