,Unnamed: 0.1,Unnamed: 0,No_Species,Community,Lineage,Le_mean,Le_std,Diversity,Ecological_Dynamics
119,119,119,13.0,5.0,4.0,0.00013053769448641305,0.0015786941064874788,6,chaotic-like
120,120,120,16.0,0.0,0.0,-0.0006410148150798142,0.0002186101720387118,6,stable
121,121,121,16.0,0.0,1.0,-0.001496455231701278,2.155509621926318e-05,6,stable
122,122,122,16.0,0.0,2.0,-0.0014952496629524151,2.572957673215462e-05,6,stable
123,123,123,16.0,0.0,3.0,-0.0014827310269668018,9.609463699473047e-05,6,stable
124,124,124,16.0,0.0,4.0,-0.0014609151113389204,0.00015749121092644333,6,stable
125,125,125,16.0,1.0,0.0,-0.0010525537119804318,0.0006299454201158575,7,stable
126,126,126,16.0,1.0,1.0,-0.0013344992962617025,0.0005525184065174141,7,stable
127,127,127,16.0,1.0,2.0,-0.001062880128967828,0.0006507953590714662,7,stable
128,128,128,16.0,1.0,3.0,-0.0012663459670395419,0.00026351299981487107,7,stable
129,129,129,16.0,1.0,4.0,-0.0012880954376642598,0.0003259625876609642,7,stable
130,130,130,16.0,2.0,0.0,-0.00043432391445240363,0.001182885271874141,5,stable
131,131,131,16.0,2.0,1.0,-0.0005414269458074466,0.0010108013182471203,5,stable
132,132,132,16.0,2.0,2.0,-0.0007128370715671153,0.0012819295426789138,5,stable
133,133,133,16.0,2.0,3.0,0.000343425606470291,0.00023492268536498995,5,stable
134,134,134,16.0,2.0,4.0,-0.0003407335848264664,0.0008866068739739319,5,stable
135,135,135,16.0,3.0,0.0,-0.0003801225117960411,0.00028656544029469433,5,stable
136,136,136,16.0,3.0,1.0,-0.00048138844913668473,0.0003690210669040648,5,stable
137,137,137,16.0,3.0,2.0,-0.0005453679453768439,0.00037850603710956116,5,stable
138,138,138,16.0,3.0,3.0,-0.0004410191714717043,0.0003699397377109434,5,stable
139,139,139,16.0,3.0,4.0,-0.0003051852901174989,0.0002880436557039354,5,stable
140,140,140,16.0,4.0,0.0,-0.0006526479488866163,0.0009023362799839836,5,stable
141,141,141,16.0,4.0,1.0,-0.0004723304830636235,0.00032758662578611454,5,stable
142,142,142,16.0,4.0,2.0,-0.0005157485424314989,0.00038722615102092044,5,stable
143,143,143,16.0,4.0,3.0,-0.0005884839192286438,0.0008826477267451853,4,stable
144,144,144,16.0,4.0,4.0,-0.0005305814726726737,0.00022929290351981677,5,stable
145,145,145,16.0,5.0,0.0,-0.000308755787376752,0.0004114845681938489,5,stable
146,146,146,16.0,5.0,1.0,-0.0002805557015152581,0.0004105340086835498,5,stable
147,147,147,16.0,5.0,2.0,-0.0006317467169095099,0.00014326250224259407,4,stable
148,148,148,16.0,5.0,3.0,-0.00040885703219232757,0.0007448142827647909,4,stable
149,149,149,16.0,5.0,4.0,-0.0004349786331250107,0.0006286855179580688,4,stable
150,150,150,19.0,0.0,0.0,4.810630067866677e-05,0.001157612714131329,16,chaotic-like
151,151,151,19.0,0.0,1.0,8.398399303568187e-05,0.0010851489536019465,16,chaotic-like
152,152,152,19.0,0.0,2.0,7.87546273121808e-05,0.0012444700172267935,16,chaotic-like
153,153,153,19.0,0.0,3.0,9.770566210576082e-05,0.0012972686959741469,16,chaotic-like
154,154,154,19.0,0.0,4.0,-1.825685314090767e-05,0.0009694292527488804,16,chaotic-like
155,155,155,19.0,1.0,0.0,-0.0008999429048060453,0.00041729432753630143,4,stable
156,156,156,19.0,1.0,1.0,-0.0012170860227450893,0.0005964103919462441,8,stable
157,157,157,19.0,1.0,2.0,-0.0009032900003634606,0.0003568876956494198,4,stable
158,158,158,19.0,1.0,3.0,-0.0009128974523491748,0.0004289545125844845,4,stable
159,159,159,19.0,1.0,4.0,-0.0008834815823864342,0.00043557479063494254,4,stable
160,160,160,19.0,2.0,0.0,-0.00046669671268361466,0.00034327928021951143,3,stable
161,161,161,19.0,2.0,1.0,-0.0002571110061371768,0.0006031726429352942,5,stable
162,162,162,19.0,2.0,2.0,-0.001723495856289254,0.00021393654124853662,7,stable
163,163,163,19.0,2.0,3.0,-0.001706909572392077,0.0002823246055417304,7,stable
164,164,164,19.0,2.0,4.0,-0.000497459580325441,0.0011658133153911597,3,stable
165,165,165,19.0,3.0,0.0,7.731183430486409e-05,0.0014706612814217983,14,chaotic-like
166,166,166,19.0,3.0,1.0,-0.0018326538956602585,7.775000386634102e-05,7,stable
167,167,167,19.0,3.0,2.0,-0.0018201930391535798,9.934316027619836e-05,7,stable
168,168,168,19.0,3.0,3.0,-0.0018388728820708223,3.2961294093452775e-05,7,stable
169,169,169,19.0,3.0,4.0,-5.602447332884845e-05,0.0012247865337884109,14,chaotic-like
170,170,170,19.0,4.0,0.0,-0.00031095255447665304,0.0010556272517266067,3,stable
171,171,171,19.0,4.0,1.0,-0.00035720205381971896,0.0010981694262266891,3,stable
172,172,172,19.0,4.0,2.0,-0.0007916247701782533,0.00038972903416358234,3,stable
173,173,173,19.0,4.0,3.0,-0.0003294634610414928,0.0009030425261025504,3,stable
174,174,174,19.0,4.0,4.0,-0.0002375760800261535,0.0007310910118049859,3,stable
175,175,175,19.0,5.0,0.0,-0.00036281820948772225,0.0005401602437905403,6,stable
176,176,176,19.0,5.0,1.0,0.00012141935312147242,0.0020743593313791117,8,oscillations
177,177,177,19.0,5.0,2.0,-0.0003964623899839695,0.00047243933924752087,6,stable
178,178,178,19.0,5.0,3.0,-0.0006121089811283028,0.00048197406719466967,6,stable
179,179,179,19.0,5.0,4.0,-0.00033633733626594556,0.0003468846348533948,6,stable
180,180,180,22.0,0.0,0.0,-0.001075595042213619,0.0007320735778392165,5,stable
181,181,181,22.0,0.0,1.0,-0.0008680718361272797,0.0003244243951794477,5,stable
182,182,182,22.0,0.0,2.0,-0.0010125912973783621,0.0003552166938557981,5,stable
183,183,183,22.0,0.0,3.0,-0.0010873150051636002,0.0007778700942934157,5,stable
184,184,184,22.0,0.0,4.0,-0.0003474612353867759,0.00018675608706452223,5,stable
